Id,FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
0500000US41067,41067,"Washington County, Oregon",531744,406871,9171,4778,45051,2069
0500000US41071,41071,"Yamhill County, Oregon",99391,84549,611,1440,1855,532
0500000US42001,42001,"Adams County, Pennsylvania",101485,95237,2035,0,297,0
0500000US42003,42003,"Allegheny County, Pennsylvania",1223583,998633,157538,1454,33606,502
0500000US42005,42005,"Armstrong County, Pennsylvania",68839,67303,720,68,131,0
0500000US42007,42007,"Beaver County, Pennsylvania",170567,155157,9881,0,901,92
0500000US42011,42011,"Berks County, Pennsylvania",411850,347052,19106,778,5211,0
0500000US42013,42013,"Blair County, Pennsylvania",127031,122234,2009,64,922,0
0500000US42017,42017,"Bucks County, Pennsylvania",625472,563100,22251,1094,24763,54
0500000US42019,42019,"Butler County, Pennsylvania",184059,177832,1706,133,1883,0
0500000US42021,42021,"Cambria County, Pennsylvania",143498,135124,5234,55,941,80
0500000US42027,42027,"Centre County, Pennsylvania",154127,137638,4197,450,7920,42
0500000US42029,42029,"Chester County, Pennsylvania",499797,436212,30354,538,19470,0
0500000US42033,42033,"Clearfield County, Pennsylvania",81562,77700,2035,19,416,0
0500000US42037,42037,"Columbia County, Pennsylvania",67268,64586,986,66,834,0
0500000US42039,42039,"Crawford County, Pennsylvania",88657,85309,1591,40,357,0
0500000US42041,42041,"Cumberland County, Pennsylvania",235861,212930,7594,345,6058,237
0500000US42043,42043,"Dauphin County, Pennsylvania",268220,199813,48361,250,8317,266
0500000US42045,42045,"Delaware County, Pennsylvania",559276,408816,110512,127,25479,0
0500000US42049,42049,"Erie County, Pennsylvania",280686,249120,20346,748,3540,0
0500000US42051,42051,"Fayette County, Pennsylvania",136446,127173,5741,146,0,0
0500000US42055,42055,"Franklin County, Pennsylvania",149834,140087,4516,41,1035,0
0500000US42063,42063,"Indiana County, Pennsylvania",88847,84309,2211,258,892,144
0500000US42069,42069,"Lackawanna County, Pennsylvania",214367,200252,5180,190,3586,190
0500000US42071,42071,"Lancaster County, Pennsylvania",520156,468862,19638,1487,10517,98
0500000US42073,42073,"Lawrence County, Pennsylvania",90968,85091,4230,118,162,95
0500000US42075,42075,"Lebanon County, Pennsylvania",133688,120099,1846,156,1231,0
0500000US42077,42077,"Lehigh County, Pennsylvania",350106,288037,22258,1320,10090,0
0500000US42079,42079,"Luzerne County, Pennsylvania",320795,297026,11613,791,2783,314
0500000US42081,42081,"Lycoming County, Pennsylvania",116143,107753,5361,45,482,66
0500000US42085,42085,"Mercer County, Pennsylvania",116558,107036,6333,21,879,157
0500000US42089,42089,"Monroe County, Pennsylvania",169896,135199,25138,464,3309,0
0500000US42091,42091,"Montgomery County, Pennsylvania",801052,658853,71930,528,51941,122
0500000US42095,42095,"Northampton County, Pennsylvania",298101,259437,14899,278,7789,31
0500000US42097,42097,"Northumberland County, Pennsylvania",94366,90456,893,231,545,0
0500000US42101,42101,"Philadelphia County, Pennsylvania",1528306,634294,668961,4659,97916,224
0500000US42107,42107,"Schuylkill County, Pennsylvania",148228,140301,4543,180,892,0
0500000US42111,42111,"Somerset County, Pennsylvania",77626,74594,1382,239,46,0
0500000US42125,42125,"Washington County, Pennsylvania",207875,195619,7588,49,1562,0
0500000US42129,42129,"Westmoreland County, Pennsylvania",365012,348232,7281,328,3107,0
0500000US42133,42133,"York County, Pennsylvania",435490,385017,20644,503,5695,44
0500000US44003,44003,"Kent County, Rhode Island",166103,155749,2631,294,3729,0
0500000US44005,44005,"Newport County, Rhode Island",82852,75259,2848,108,1426,616
0500000US44007,44007,"Providence County, Rhode Island",627070,460015,55549,1653,22400,488
