FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
1003,"Baldwin County, Alabama",208563,180484,18821,1383,914,0
1015,"Calhoun County, Alabama",114611,84357,24160,803,1064,0
1043,"Cullman County, Alabama",82471,79032,1052,633,763,0
1049,"DeKalb County, Alabama",70900,62139,1087,862,74,87
1055,"Etowah County, Alabama",102564,83159,16417,484,858,0
1069,"Houston County, Alabama",104056,71838,27762,443,1054,0
1073,"Jefferson County, Alabama",659521,340506,279979,1799,8366,323
1077,"Lauderdale County, Alabama",92318,80596,9513,132,720,60
1081,"Lee County, Alabama",158991,111185,37968,0,6648,63
1083,"Limestone County, Alabama",92753,76272,14066,599,364,0
1089,"Madison County, Alabama",356967,243688,87415,2547,8383,250
1095,"Marshall County, Alabama",95157,89605,2764,369,746,0
1097,"Mobile County, Alabama",414836,243284,148001,3328,8269,20
1101,"Montgomery County, Alabama",226349,81740,130006,339,5753,36
1103,"Morgan County, Alabama",119012,93591,14431,763,1076,0
1117,"Shelby County, Alabama",210622,168484,24066,211,4535,197
1121,"Talladega County, Alabama",80103,51823,26589,70,548,23
1125,"Tuscaloosa County, Alabama",206102,132006,66183,34,3413,0
2020,"Anchorage Municipality, Alaska",298192,184841,16102,23916,27142,7669
2090,"Fairbanks North Star Borough, Alaska",100605,75501,4385,7427,3875,503
2170,"Matanuska-Susitna Borough, Alaska",104365,86314,1019,5455,1083,141
4001,"Apache County, Arizona",73112,16162,112,53520,106,54
4003,"Cochise County, Arizona",125770,109899,5077,1875,2783,434
4005,"Coconino County, Arizona",140908,91167,2166,37010,2670,163
4013,"Maricopa County, Arizona",4242997,3227510,230642,82300,168720,9808
4015,"Mohave County, Arizona",205249,187492,1614,4870,2029,231
4017,"Navajo County, Arizona",110026,50543,755,49003,897,0
4019,"Pima County, Arizona",1016206,774608,34344,32670,28713,1550
4021,"Pinal County, Arizona",418540,337571,18679,21796,8568,1357
4025,"Yavapai County, Arizona",225562,209960,1130,3491,2368,207
4027,"Yuma County, Arizona",205631,112651,3696,2926,2719,266
5007,"Benton County, Arkansas",258291,228649,3896,2656,9343,1350
5031,"Craighead County, Arkansas",105835,84134,15243,0,1394,0
5045,"Faulkner County, Arkansas",122227,100295,12771,277,1404,739
5051,"Garland County, Arkansas",97477,84195,8471,989,1046,0
5069,"Jefferson County, Arkansas",70016,28485,40177,46,291,0
5085,"Lonoke County, Arkansas",72228,63910,3884,292,1032,0
5119,"Pulaski County, Arkansas",393250,218346,142430,799,8604,33
5125,"Saline County, Arkansas",118703,106655,8393,887,1212,0
