FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
1003,"Baldwin County, Alabama",186717,162171,18524,401,1464,0
1015,"Calhoun County, Alabama",117797,88358,25428,147,110,0
1043,"Cullman County, Alabama",80536,76442,992,455,351,40
1049,"DeKalb County, Alabama",71375,64518,1466,818,107,0
1055,"Etowah County, Alabama",104303,84403,16328,173,856,220
1069,"Houston County, Alabama",102369,71328,26489,323,701,17
1073,"Jefferson County, Alabama",658931,346566,278920,1694,10395,26
1077,"Lauderdale County, Alabama",92781,80740,10110,155,627,0
1081,"Lee County, Alabama",143468,101250,33808,65,4044,0
1083,"Limestone County, Alabama",85369,69208,11994,502,400,0
1089,"Madison County, Alabama",340111,234068,82329,2057,7805,626
1095,"Marshall County, Alabama",94166,86656,2080,271,513,30
1097,"Mobile County, Alabama",412577,249423,143823,3796,7476,112
1101,"Montgomery County, Alabama",232032,94826,127067,1071,5178,0
1103,"Morgan County, Alabama",119953,99466,15103,385,151,382
1115,"St. Clair County, Alabama",84398,75722,6753,584,609,20
1117,"Shelby County, Alabama",197936,165006,22795,519,4337,0
1125,"Tuscaloosa County, Alabama",197211,132893,60060,96,2763,0
1127,"Walker County, Alabama",66661,60645,3423,119,139,0
2020,"Anchorage Municipality, Alaska",295570,196444,16294,19194,23872,6145
2090,"Fairbanks North Star Borough, Alaska",99192,75684,4606,6641,2460,259
2170,"Matanuska-Susitna Borough, Alaska",91946,78034,364,5661,1438,232
4001,"Apache County, Arizona",72401,17330,339,51383,552,398
4003,"Cochise County, Arizona",133289,97616,5101,1554,2327,384
4005,"Coconino County, Arizona",134511,83427,1827,36926,1894,60
4013,"Maricopa County, Arizona",3880244,3160235,194407,73511,133072,7880
4015,"Mohave County, Arizona",202351,178872,2525,4439,1383,209
4017,"Navajo County, Arizona",107398,53175,426,46764,831,0
4019,"Pima County, Arizona",989569,790968,37575,31790,26930,1657
4021,"Pinal County, Arizona",382992,296684,17137,19500,5616,848
4025,"Yavapai County, Arizona",211888,193972,1321,3932,1742,107
4027,"Yuma County, Arizona",200870,151897,4077,3543,2592,54
5007,"Benton County, Arkansas",227556,197847,2758,2482,6433,1392
5031,"Craighead County, Arkansas",98315,81188,13764,192,1179,195
5045,"Faulkner County, Arkansas",116342,98641,12793,429,888,31
5051,"Garland County, Arkansas",97124,82215,9213,685,66,0
5069,"Jefferson County, Arkansas",76246,32293,42432,95,314,487
5085,"Lonoke County, Arkansas",69341,61354,4584,637,734,0
5119,"Pulaski County, Arkansas",386299,227320,136571,897,7356,163
5125,"Saline County, Arkansas",109526,100247,5676,652,959,0
5131,"Sebastian County, Arkansas",127127,104720,7589,1560,5525,227
5143,"Washington County, Arkansas",207521,165071,6627,3260,4987,4039
5145,"White County, Arkansas",78167,70750,3275,156,0,0
6001,"Alameda County, California",1529875,712457,188988,6567,406047,13018
6007,"Butte County, California",220266,183279,3180,2411,9854,293
6013,"Contra Costa County, California",1066096,680808,97747,6084,149806,5048
6017,"El Dorado County, California",180938,156775,1474,3184,6925,56
6019,"Fresno County, California",942904,521076,46529,9999,90274,1855
6023,"Humboldt County, California",134761,112161,1666,7113,2299,811
6025,"Imperial County, California",177057,117987,6061,3716,2723,104
6029,"Kern County, California",851710,642708,49959,11778,36349,1021
6031,"Kings County, California",153765,114381,9022,2108,5620,1187
6033,"Lake County, California",64323,52588,944,3998,939,233
6037,"Los Angeles County, California",9889056,5370000,826465,45496,1362032,27402
6039,"Madera County, California",152925,126065,4772,2355,3285,1322
6041,"Marin County, California",255031,199725,7849,422,14746,277
6045,"Mendocino County, California",87553,71201,742,5361,1557,20
6047,"Merced County, California",259898,181378,9212,2394,19127,585
6053,"Monterey County, California",421898,309978,12540,2971,26257,2371
6055,"Napa County, California",138088,112259,2312,559,10323,88
6057,"Nevada County, California",98612,90377,400,614,1578,60
6059,"Orange County, California",3055745,1945608,52328,11450,557905,8968
6061,"Placer County, California",357138,301930,4163,2147,22533,273
6065,"Riverside County, California",2239620,1493089,144097,24685,135636,7065
6067,"Sacramento County, California",1436105,861504,142991,13358,206035,14090
6071,"San Bernardino County, California",2065377,1289803,167475,17765,131737,6775
6073,"San Diego County, California",3140069,2239511,157969,21539,346972,12682
6075,"San Francisco County, California",812826,408583,48564,2791,272088,3703
6077,"San Joaquin County, California",696214,426429,52901,6667,99119,4075
6079,"San Luis Obispo County, California",271969,227770,6407,2106,10608,43
6081,"San Mateo County, California",727209,427914,20120,1829,182693,10693
6083,"Santa Barbara County, California",426878,327523,7605,3944,21178,821
6085,"Santa Clara County, California",1809378,929773,48244,10991,582676,7115
6087,"Santa Cruz County, California",264298,218307,2861,1379,11806,133
6089,"Shasta County, California",177774,155742,1730,4543,3432,435
6095,"Solano County, California",416471,223832,58367,2751,61718,3467
