FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
1003,"Baldwin County, Alabama",195540,169831,20100,570,1341,0
1015,"Calhoun County, Alabama",116736,87777,24658,88,1207,0
1049,"DeKalb County, Alabama",71013,64764,1546,1303,117,0
1051,"Elmore County, Alabama",80902,61393,17372,326,746,0
1055,"Etowah County, Alabama",103931,84585,16426,799,699,71
1069,"Houston County, Alabama",103668,71726,27512,697,981,0
1073,"Jefferson County, Alabama",659479,348515,278125,2072,9070,12
1077,"Lauderdale County, Alabama",92797,80383,9387,341,862,46
1081,"Lee County, Alabama",150933,104152,35703,61,4857,0
1083,"Limestone County, Alabama",88845,73100,11174,478,854,200
1089,"Madison County, Alabama",346892,239945,85494,2147,9299,156
1095,"Marshall County, Alabama",94760,88365,1485,1200,264,0
1097,"Mobile County, Alabama",414079,249194,144740,1845,8198,46
1101,"Montgomery County, Alabama",226659,87348,127791,123,4982,0
1103,"Morgan County, Alabama",119787,98139,14249,664,245,0
1115,"St. Clair County, Alabama",86308,75053,8272,163,739,0
1117,"Shelby County, Alabama",204180,168130,24119,247,3911,0
1125,"Tuscaloosa County, Alabama",200821,132348,61366,371,2915,0
2020,"Anchorage Municipality, Alaska",300950,197183,17842,22764,24675,6800
2090,"Fairbanks North Star Borough, Alaska",100436,77978,3911,6815,3426,196
2170,"Matanuska-Susitna Borough, Alaska",95192,79506,1021,4621,1249,85
4001,"Apache County, Arizona",71934,17178,395,51837,326,150
4003,"Cochise County, Arizona",129473,107321,5157,1530,2215,0
4005,"Coconino County, Arizona",136539,84389,2577,35829,1734,277
4013,"Maricopa County, Arizona",4009412,3202752,207145,74761,147957,8005
4015,"Mohave County, Arizona",203030,184282,2612,4842,2556,162
4017,"Navajo County, Arizona",107322,53703,655,45631,570,430
4019,"Pima County, Arizona",996554,775006,33917,31306,25044,1649
4021,"Pinal County, Arizona",389350,319854,18157,19047,5735,1592
4025,"Yavapai County, Arizona",215133,198393,1316,4282,1576,0
4027,"Yuma County, Arizona",201201,153889,4660,2297,2275,0
5007,"Benton County, Arkansas",237297,209440,3514,3578,9000,57
5031,"Craighead County, Arkansas",101488,83248,13251,535,1083,0
5045,"Faulkner County, Arkansas",119580,99966,13658,442,1105,0
5051,"Garland County, Arkansas",97173,81149,8355,833,125,0
5085,"Lonoke County, Arkansas",70753,63431,4014,88,354,0
5119,"Pulaski County, Arkansas",391284,229381,138304,920,7553,182
5125,"Saline County, Arkansas",114404,102693,5625,120,780,0
5131,"Sebastian County, Arkansas",127342,106163,7735,1261,5706,49
5143,"Washington County, Arkansas",216410,165063,11323,1970,5510,292
5145,"White County, Arkansas",78483,72086,3277,377,547,0
6001,"Alameda County, California",1578891,707895,184055,9864,430606,13157
6007,"Butte County, California",222090,185187,3336,1868,9970,321
6013,"Contra Costa County, California",1094205,668252,96772,5635,164811,5340
6017,"El Dorado County, California",181737,158602,3207,1132,7658,254
6019,"Fresno County, California",955272,590833,48872,10938,95291,1574
6023,"Humboldt County, California",134493,109863,1452,6864,3015,197
6025,"Imperial County, California",176584,122140,4604,1845,2621,81
6029,"Kern County, California",864124,646188,47749,8530,39322,992
6031,"Kings County, California",150960,100734,10111,1726,5400,406
6033,"Lake County, California",63860,49665,505,3036,1037,6
6037,"Los Angeles County, California",10017068,5361540,830729,65241,1409186,25719
6039,"Madera County, California",152389,125984,5044,2627,3131,300
6041,"Marin County, California",258365,205262,6380,262,15306,710
6045,"Mendocino County, California",87192,70092,941,3491,1074,241
6047,"Merced County, California",263228,155090,8493,1509,21317,179
6053,"Monterey County, California",428826,333814,11376,4140,26772,2267
6055,"Napa County, California",140326,101561,3074,1319,10765,122
6057,"Nevada County, California",98200,89699,355,743,1361,128
6059,"Orange County, California",3114363,1965346,53400,11397,586548,10909
6061,"Placer County, California",367309,305729,4422,2395,23130,279
6065,"Riverside County, California",2292507,1475763,141705,19221,140883,6729
6067,"Sacramento County, California",1462131,877383,145610,11298,216437,14750
6071,"San Bernardino County, California",2088371,1339391,186471,14518,139116,7648
6073,"San Diego County, California",3211252,2293611,162450,20836,360899,15267
6075,"San Francisco County, California",837442,406041,47985,4079,280667,3481
6077,"San Joaquin County, California",704379,390591,48252,3141,101669,4070
6079,"San Luis Obispo County, California",276443,236376,6348,2313,10506,115
6081,"San Mateo County, California",747373,415158,19611,1559,198260,10487
6083,"Santa Barbara County, California",435697,279064,8076,3761,22980,615
6085,"Santa Clara County, California",1862041,877220,50469,9091,622621,5689
6087,"Santa Cruz County, California",269419,217508,2086,1414,12556,40
6089,"Shasta County, California",178980,154166,1609,4378,5121,59
6095,"Solano County, California",424788,226199,59988,2426,63983,3308
6097,"Sonoma County, California",495025,379213,7290,6302,18448,1565
6099,"Stanislaus County, California",525491,379477,14527,2994,30854,1367
6101,"Sutter County, California",95350,69243,2198,460,14393,246
6107,"Tulare County, California",454143,383003,8277,6203,15776,546
6111,"Ventura County, California",839620,664232,14439,4990,58231,986
6113,"Yolo County, California",204593,137830,5683,1495,27760,296
6115,"Yuba County, California",73340,51529,2625,1262,4158,428
8001,"Adams County, Colorado",469193,391348,14454,4616,17435,420
8005,"Arapahoe County, Colorado",607070,440192,59572,2280,32987,1240
8013,"Boulder County, Colorado",310048,269689,3382,2566,12770,585
8031,"Denver County, Colorado",649495,504146,64113,5214,21095,897
8035,"Douglas County, Colorado",305963,277783,2374,271,13155,0
8041,"El Paso County, Colorado",655044,522468,38082,3868,18275,2472
8059,"Jefferson County, Colorado",551798,500315,5438,4507,13971,579
8069,"Larimer County, Colorado",315988,287126,2263,1635,5693,229
8077,"Mesa County, Colorado",147554,137705,1536,1107,701,0
8101,"Pueblo County, Colorado",161451,119340,4595,4800,1137,122
8123,"Weld County, Colorado",269785,217193,3155,2116,4051,139
9001,"Fairfield County, Connecticut",939904,690752,104904,2759,44601,236
9003,"Hartford County, Connecticut",898272,649107,121320,489,43202,140
9005,"Litchfield County, Connecticut",186924,173981,3094,131,3791,0
9007,"Middlesex County, Connecticut",165562,146545,8690,202,4400,0
9009,"New Haven County, Connecticut",862287,653393,109998,1100,33213,101
9011,"New London County, Connecticut",274150,223921,16303,2599,10862,44
9013,"Tolland County, Connecticut",151377,135833,4663,99,6121,24
9015,"Windham County, Connecticut",117604,105149,2026,639,1380,0
10001,"Kent County, Delaware",169416,111974,41668,1821,3765,260
10003,"New Castle County, Delaware",549684,358170,133494,1138,27314,456
10005,"Sussex County, Delaware",206649,167462,25087,996,2560,125
11001,"District of Columbia, District of Columbia",646449,264080,315504,1272,22963,104
12001,"Alachua County, Florida",253451,178618,49014,492,14057,1379
12005,"Bay County, Florida",174987,143717,19391,1345,4548,56
12009,"Brevard County, Florida",550823,460191,57116,1621,13123,0
12011,"Broward County, Florida",1838844,1153486,514140,3506,64072,895
12015,"Charlotte County, Florida",164736,148883,9860,571,1718,0
12017,"Citrus County, Florida",139271,130088,4549,336,2336,0
12019,"Clay County, Florida",196399,161310,19570,392,5593,498
12021,"Collier County, Florida",339642,303120,22772,979,4450,0
