FIPS,Geography,Total,White,Black,AmInd_Alaska,Asian,PacIsl
13059,"Clarke County, Georgia",123912,78175,33751,58,4998,257
13063,"Clayton County, Georgia",273955,55071,183597,190,14513,0
13067,"Cobb County, Georgia",741334,440890,199374,1103,37955,496
13073,"Columbia County, Georgia",144052,107599,23518,389,4170,0
13077,"Coweta County, Georgia",138427,105598,25577,132,2245,0
13089,"DeKalb County, Georgia",734871,255926,397016,5917,43858,70
13095,"Dougherty County, Georgia",91332,26045,63173,340,461,4
13097,"Douglas County, Georgia",140733,66598,62311,51,2403,0
13113,"Fayette County, Georgia",110714,76899,24033,99,4501,0
13115,"Floyd County, Georgia",96504,73949,14466,146,1618,0
13117,"Forsyth County, Georgia",212438,177310,6402,346,21652,159
13121,"Fulton County, Georgia",1010562,457848,446830,4349,69031,481
13127,"Glynn County, Georgia",83579,57387,22239,305,329,39
13135,"Gwinnett County, Georgia",895823,462519,238406,2818,101864,583
13139,"Hall County, Georgia",193535,163978,14588,280,3483,0
13151,"Henry County, Georgia",217739,109928,89920,0,6668,78
13153,"Houston County, Georgia",150033,92923,43992,266,4699,0
13179,"Liberty County, Georgia",62467,30295,25600,553,1611,329
13185,"Lowndes County, Georgia",112865,66001,40913,80,2171,0
13215,"Muscogee County, Georgia",200579,90995,90408,676,4487,665
13217,"Newton County, Georgia",105473,56170,44362,84,773,0
13223,"Paulding County, Georgia",152238,113463,25413,230,2441,51
13245,"Richmond County, Georgia",201793,77245,112068,480,3770,0
13247,"Rockdale County, Georgia",88856,38307,45041,0,1679,0
13285,"Troup County, Georgia",69763,41524,24879,256,1193,0
13297,"Walton County, Georgia",88399,69786,16955,0,102,39
13313,"Whitfield County, Georgia",104216,90438,4605,233,1556,0
15001,"Hawaii County, Hawaii",196428,65100,1216,1867,42479,25645
15003,"Honolulu County, Hawaii",998714,223187,27170,1393,416998,85776
15007,"Kauai County, Hawaii",71735,22644,113,473,26406,7156
15009,"Maui County, Hawaii",164593,61299,1145,166,45384,15545
16001,"Ada County, Idaho",434211,397109,5528,2079,9958,537
16005,"Bannock County, Idaho",83744,75407,723,2783,1078,340
16019,"Bonneville County, Idaho",110089,99847,219,167,1862,74
16027,"Canyon County, Idaho",207478,182834,563,3024,1607,694
16055,"Kootenai County, Idaho",150346,141615,387,1905,937,0
16083,"Twin Falls County, Idaho",82375,76635,0,607,1940,0
17001,"Adams County, Illinois",67013,62245,2316,448,677,18
17019,"Champaign County, Illinois",208861,150037,26513,277,22294,409
17031,"Cook County, Illinois",5238216,2951389,1239299,14702,368205,2413
17037,"DeKalb County, Illinois",104352,87553,8260,100,2393,0
17043,"DuPage County, Illinois",933736,729248,45855,2979,106949,285
17089,"Kane County, Illinois",530847,388540,31482,993,21060,171
17091,"Kankakee County, Illinois",110879,87939,17543,81,1267,85
17093,"Kendall County, Illinois",123355,103479,10033,0,4179,0
17097,"Lake County, Illinois",703910,563399,48996,1053,50634,127
17099,"LaSalle County, Illinois",111333,103860,2863,60,895,0
17111,"McHenry County, Illinois",307343,282092,4926,94,9166,242
17113,"McLean County, Illinois",173166,144111,14618,307,8250,79
17115,"Macon County, Illinois",107303,82873,15646,157,981,0
17119,"Madison County, Illinois",266209,233920,23106,678,2302,0
17143,"Peoria County, Illinois",186221,135122,32746,326,7155,56
17161,"Rock Island County, Illinois",146133,119934,13435,342,3577,0
17163,"St. Clair County, Illinois",264052,171465,78890,446,3683,114
17167,"Sangamon County, Illinois",198712,163055,24118,140,4164,0
17179,"Tazewell County, Illinois",134800,129150,1767,48,1473,0
17183,"Vermilion County, Illinois",79282,65527,11304,175,540,0
17197,"Will County, Illinois",687263,507289,78914,965,35846,130
17199,"Williamson County, Illinois",67466,61520,3446,143,550,0
17201,"Winnebago County, Illinois",287078,225216,36612,1233,7070,15
18003,"Allen County, Indiana",368450,294139,40592,996,12389,649
18005,"Bartholomew County, Indiana",81162,71122,1463,580,4053,317
18019,"Clark County, Indiana",115371,100938,8326,359,1411,0
18035,"Delaware County, Indiana",116852,103006,9095,208,1852,104
18039,"Elkhart County, Indiana",203474,178528,12157,881,2820,121
18043,"Floyd County, Indiana",76778,69206,4126,411,774,0
18057,"Hamilton County, Indiana",309697,271218,11636,50,18379,0
18063,"Hendricks County, Indiana",158192,139640,9350,881,4415,0
18067,"Howard County, Indiana",82556,72425,5570,228,1015,185
18081,"Johnson County, Indiana",149633,136723,3895,56,3836,0
18085,"Kosciusko County, Indiana",78620,74287,614,15,690,0
18089,"Lake County, Indiana",487865,298738,116842,991,7500,134
18091,"LaPorte County, Indiana",110884,91608,12846,0,331,0
18095,"Madison County, Indiana",129723,114069,9717,143,200,63
18097,"Marion County, Indiana",939020,599418,255320,2784,27116,0
18105,"Monroe County, Indiana",144705,125012,3772,143,9680,50
