FIPS,Geography,Total,White,Black,AmInd_Alaska,Asian,PacIsl
37067,"Forsyth County, North Carolina",369019,243658,95669,1112,7926,827
37071,"Gaston County, North Carolina",213442,164215,34201,888,2906,416
37081,"Guilford County, North Carolina",517600,289723,172835,1633,23812,314
37085,"Harnett County, North Carolina",128140,83178,26285,1648,1350,0
37089,"Henderson County, North Carolina",112655,100021,3708,208,1389,0
37097,"Iredell County, North Carolina",169866,138105,21451,609,4317,0
37101,"Johnston County, North Carolina",185660,146870,30183,466,1088,0
37109,"Lincoln County, North Carolina",81035,70924,4615,181,200,0
37119,"Mecklenburg County, North Carolina",1034070,587112,320209,3447,57115,119
37125,"Moore County, North Carolina",94352,78410,12689,907,1416,0
37127,"Nash County, North Carolina",93919,49193,37342,329,848,183
37129,"New Hanover County, North Carolina",220358,178674,32417,234,3601,108
37133,"Onslow County, North Carolina",186311,137859,26337,827,4280,33
37135,"Orange County, North Carolina",141354,104825,17154,885,10854,31
37147,"Pitt County, North Carolina",175842,102334,61327,274,2737,0
37151,"Randolph County, North Carolina",142799,117356,9130,505,1656,0
37155,"Robeson County, North Carolina",134197,38305,32640,51930,873,0
37157,"Rockingham County, North Carolina",91758,68799,17433,302,244,0
37159,"Rowan County, North Carolina",139142,105565,21955,164,982,47
37171,"Surry County, North Carolina",72743,66664,2498,251,393,54
37179,"Union County, North Carolina",222742,183566,23500,442,5864,0
37183,"Wake County, North Carolina",1024198,682435,214103,3416,65485,348
37191,"Wayne County, North Carolina",124132,76542,38277,456,2081,0
37195,"Wilson County, North Carolina",81714,39644,32302,1767,959,0
38015,"Burleigh County, North Dakota",92991,85634,1652,3397,774,0
38017,"Cass County, North Dakota",171512,152640,6905,1897,5021,0
38035,"Grand Forks County, North Dakota",70916,62008,2360,1417,2015,221
38101,"Ward County, North Dakota",71275,62508,2391,745,1195,96
39003,"Allen County, Ohio",104425,86537,13636,323,1060,0
39007,"Ashtabula County, Ohio",98632,91808,3828,95,558,0
39009,"Athens County, Ohio",65886,59728,1940,63,2910,0
39013,"Belmont County, Ohio",69154,64567,2313,451,77,0
39017,"Butler County, Ohio",376353,320938,26643,1113,10790,1881
39023,"Clark County, Ohio",135959,116881,11004,99,1020,94
39025,"Clermont County, Ohio",201973,192302,3379,463,2044,0
39035,"Cuyahoga County, Ohio",1255921,794041,372481,3910,36749,522
39041,"Delaware County, Ohio",193013,170763,7468,51,10806,110
39043,"Erie County, Ohio",75550,64065,6251,120,144,0
39045,"Fairfield County, Ohio",151408,134937,10834,72,2183,302
39049,"Franklin County, Ohio",1251722,853416,272019,2143,58135,328
39055,"Geauga County, Ohio",94102,90773,1175,0,398,0
39057,"Greene County, Ohio",164427,142312,11411,173,4588,0
39061,"Hamilton County, Ohio",807598,550705,206481,925,19234,287
39063,"Hancock County, Ohio",75573,69539,1541,44,1330,0
39081,"Jefferson County, Ohio",67347,61801,3270,224,115,0
39085,"Lake County, Ohio",229245,210834,9681,353,2840,16
39089,"Licking County, Ohio",170570,157316,5527,196,1657,99
39093,"Lorain County, Ohio",305147,258542,26896,1186,3804,192
39095,"Lucas County, Ohio",433689,313961,81256,923,8472,297
39099,"Mahoning County, Ohio",231900,185334,37537,1016,1776,339
39101,"Marion County, Ohio",65355,58757,3522,222,469,0
39103,"Medina County, Ohio",176395,168225,2817,253,2140,0
39109,"Miami County, Ohio",104224,97829,3094,134,1086,0
39113,"Montgomery County, Ohio",532258,390995,106552,1368,10445,141
39133,"Portage County, Ohio",162275,147011,6575,236,2580,0
39139,"Richland County, Ohio",121707,105515,8063,191,1070,0
39141,"Ross County, Ohio",77170,69567,4059,0,95,52
39151,"Stark County, Ohio",375165,331368,28395,304,3469,60
39153,"Summit County, Ohio",541968,430784,77317,718,15795,200
39155,"Trumbull County, Ohio",203751,180958,16969,30,1279,32
39157,"Tuscarawas County, Ohio",92916,89575,440,113,912,0
39165,"Warren County, Ohio",224469,200608,6779,156,10849,0
39169,"Wayne County, Ohio",116063,109654,1530,712,845,0
39173,"Wood County, Ohio",129730,119283,3672,112,1910,23
40017,"Canadian County, Oklahoma",133378,107025,3131,4780,3718,0
40027,"Cleveland County, Oklahoma",274458,213978,11577,9967,12446,120
40031,"Comanche County, Oklahoma",124648,79767,21466,6431,3248,472
40037,"Creek County, Oklahoma",70892,56326,1558,8376,68,0
40101,"Muskogee County, Oklahoma",69699,41098,8036,12409,517,0
40109,"Oklahoma County, Oklahoma",776864,537248,114640,21136,26038,673
40119,"Payne County, Oklahoma",80850,65558,3029,4111,3934,101
40125,"Pottawatomie County, Oklahoma",71875,55076,2497,11089,448,0
40131,"Rogers County, Oklahoma",90802,67884,956,10935,1177,0
40143,"Tulsa County, Oklahoma",639242,445266,64849,30398,18884,58
40145,"Wagoner County, Oklahoma",76559,58308,2939,5556,966,116
41003,"Benton County, Oregon",87572,76011,829,905,5759,78
41005,"Clackamas County, Oregon",401515,354708,3723,2768,17296,1445
41017,"Deschutes County, Oregon",175268,163923,1128,999,1805,110
41019,"Douglas County, Oregon",107685,100062,723,1054,883,72
41029,"Jackson County, Oregon",212567,193760,1514,2319,2407,376
41033,"Josephine County, Oregon",84745,77847,370,337,1027,0
41035,"Klamath County, Oregon",66016,58461,154,3263,707,144
41039,"Lane County, Oregon",362895,317444,5418,5392,8277,945
41043,"Linn County, Oregon",120547,110729,100,1047,1200,156
41047,"Marion County, Oregon",330700,278040,4055,2748,5397,3043
41051,"Multnomah County, Oregon",790294,623309,42914,6017,55377,4517
41053,"Polk County, Oregon",79391,69742,692,1470,1685,175
41059,"Umatilla County, Oregon",76531,66230,444,3533,728,162
41067,"Washington County, Oregon",574326,448092,10700,4620,56697,2142
41071,"Yamhill County, Oregon",102659,89789,1039,1233,1431,0
42001,"Adams County, Pennsylvania",102295,94195,1317,0,965,0
42003,"Allegheny County, Pennsylvania",1230459,990127,157161,1007,43711,393
42007,"Beaver County, Pennsylvania",168871,153439,10415,0,1022,0
42011,"Berks County, Pennsylvania",415271,347572,22043,5493,6266,149
42013,"Blair County, Pennsylvania",125593,119179,1507,29,954,0
42017,"Bucks County, Pennsylvania",627367,551840,24566,1291,29971,0
42019,"Butler County, Pennsylvania",186818,179365,1771,123,1576,125
42021,"Cambria County, Pennsylvania",136411,127879,4606,115,953,0
42025,"Carbon County, Pennsylvania",63960,61555,1253,20,388,0
42027,"Centre County, Pennsylvania",160580,140405,6909,12,9340,141
42029,"Chester County, Pennsylvania",515939,442708,29470,749,26192,231
42033,"Clearfield County, Pennsylvania",80994,76816,2010,334,248,0
42037,"Columbia County, Pennsylvania",66672,63739,1204,21,1031,0
42039,"Crawford County, Pennsylvania",86484,82369,1538,17,627,0
42041,"Cumberland County, Pennsylvania",246338,218722,9015,240,9157,0
42043,"Dauphin County, Pennsylvania",272983,196987,49362,384,9232,102
42045,"Delaware County, Pennsylvania",563894,392395,118178,886,28665,0
42049,"Erie County, Pennsylvania",278045,242365,20540,372,3712,129
42055,"Franklin County, Pennsylvania",153638,142091,5818,57,2019,0
42063,"Indiana County, Pennsylvania",86966,82048,2889,18,119,0
42069,"Lackawanna County, Pennsylvania",211917,195536,6473,14,4897,0
42071,"Lancaster County, Pennsylvania",536624,474069,23230,920,11311,45
42073,"Lawrence County, Pennsylvania",88082,81824,2997,211,577,0
42075,"Lebanon County, Pennsylvania",137067,120264,2425,0,2155,142
42077,"Lehigh County, Pennsylvania",360685,284731,24347,488,12450,491
42079,"Luzerne County, Pennsylvania",318449,281103,13872,745,3782,0
42081,"Lycoming County, Pennsylvania",116048,106598,5859,278,987,0
42085,"Mercer County, Pennsylvania",114234,104725,5534,98,910,0
42089,"Monroe County, Pennsylvania",166397,126199,24086,607,4008,0
42091,"Montgomery County, Pennsylvania",819264,649239,73055,864,62774,235
42095,"Northampton County, Pennsylvania",300813,259696,13105,854,8840,90
42097,"Northumberland County, Pennsylvania",93246,88658,2823,426,485,0
42101,"Philadelphia County, Pennsylvania",1567442,657151,664062,5701,113162,1403
42107,"Schuylkill County, Pennsylvania",144590,135259,5118,90,246,0
42111,"Somerset County, Pennsylvania",75522,71988,1762,0,102,0
42125,"Washington County, Pennsylvania",208261,195323,5153,342,2134,151
42129,"Westmoreland County, Pennsylvania",357956,338957,7632,131,2093,0
42133,"York County, Pennsylvania",442867,394840,26555,701,6407,0
44003,"Kent County, Rhode Island",164801,150545,2817,101,4357,0
44005,"Newport County, Rhode Island",82423,74816,2877,40,1693,0
44007,"Providence County, Rhode Island",633473,459841,57131,3444,26394,211
44009,"Washington County, Rhode Island",126517,117011,1965,978,1943,0
45003,"Aiken County, South Carolina",165829,114681,41555,248,1698,248
45007,"Anderson County, South Carolina",194692,156403,32072,259,636,91
45013,"Beaufort County, South Carolina",179589,134230,33296,169,2294,0
45015,"Berkeley County, South Carolina",202786,135041,49660,1196,4291,752
45019,"Charleston County, South Carolina",389262,264216,109027,641,4779,208
45035,"Dorchester County, South Carolina",152478,103079,40661,407,3539,0
45041,"Florence County, South Carolina",138900,75914,58525,139,1804,345
45045,"Greenville County, South Carolina",491863,369011,88999,866,11248,953
45051,"Horry County, South Carolina",309199,248966,40868,1630,3396,140
45057,"Lancaster County, South Carolina",85842,61140,22302,0,727,0
45059,"Laurens County, South Carolina",66623,46372,16527,139,253,0
45063,"Lexington County, South Carolina",281833,224186,42919,594,5216,0
45073,"Oconee County, South Carolina",75713,66804,4931,337,399,0
45075,"Orangeburg County, South Carolina",89208,30978,55352,6,368,0
45077,"Pickens County, South Carolina",121691,108430,7782,239,2241,0
45079,"Richland County, South Carolina",407051,190429,185404,487,11032,491
45083,"Spartanburg County, South Carolina",297302,218859,60907,443,7227,0
45085,"Sumter County, South Carolina",107480,52636,50282,312,1369,0
45091,"York County, South Carolina",251195,187780,49189,1681,5115,0
46099,"Minnehaha County, South Dakota",185197,159165,8943,4080,3183,11
46103,"Pennington County, South Dakota",108702,89994,732,7603,1815,316
47001,"Anderson County, Tennessee",75749,68737,2848,464,844,2
47009,"Blount County, Tennessee",127253,119270,3820,383,874,0
47011,"Bradley County, Tennessee",104091,95214,5519,78,1186,0
47037,"Davidson County, Tennessee",678889,433961,182939,2769,21202,76
47065,"Hamilton County, Tennessee",354098,267764,68286,692,7550,63
47093,"Knox County, Tennessee",451324,385921,39109,614,8744,677
47113,"Madison County, Tennessee",97610,58162,35388,0,953,0
47119,"Maury County, Tennessee",87757,73683,10742,98,614,0
47125,"Montgomery County, Tennessee",193479,138443,39336,1406,4337,659
47141,"Putnam County, Tennessee",74553,69372,1887,89,1062,0
47147,"Robertson County, Tennessee",68570,60810,5365,0,364,0
47149,"Rutherford County, Tennessee",298612,232642,41011,531,9592,40
47155,"Sevier County, Tennessee",95946,90270,709,822,910,0
47157,"Shelby County, Tennessee",938069,371647,498328,593,24355,621
47163,"Sullivan County, Tennessee",156791,148311,4325,186,471,119
47165,"Sumner County, Tennessee",175989,153447,11293,710,2087,122
47179,"Washington County, Tennessee",126302,115931,4618,342,1822,0
47187,"Williamson County, Tennessee",211672,189788,10365,0,8467,48
47189,"Wilson County, Tennessee",128911,113459,9093,669,1716,0
48005,"Angelina County, Texas",88255,69381,12504,63,923,0
48021,"Bastrop County, Texas",80527,55426,5498,852,833,0
48027,"Bell County, Texas",334941,217790,72623,1889,9371,2467
48029,"Bexar County, Texas",1897753,1539435,145788,14546,53560,1799
48037,"Bowie County, Texas",93389,63002,23335,1026,105,0
48039,"Brazoria County, Texas",346312,257656,44984,1278,21197,0
48041,"Brazos County, Texas",215037,160827,22886,476,12750,54
48061,"Cameron County, Texas",422156,396469,1795,1549,2664,35
48085,"Collin County, Texas",914127,650608,85968,6308,125839,741
48091,"Comal County, Texas",129048,114135,2869,503,1233,0
48099,"Coryell County, Texas",75503,53964,9534,330,1602,2513
48113,"Dallas County, Texas",2553385,1590220,569901,10453,151742,1328
48121,"Denton County, Texas",780612,587476,75611,2625,62543,0
48135,"Ector County, Texas",159436,140664,6503,335,1531,0
48139,"Ellis County, Texas",163632,130956,16441,1333,1061,0
48141,"El Paso County, Texas",835593,703725,31617,5874,10663,75
48157,"Fort Bend County, Texas",716087,367207,150245,2395,139855,548
48167,"Galveston County, Texas",322225,249430,41377,1376,8666,126
48181,"Grayson County, Texas",125467,109315,7462,2230,1495,0
48183,"Gregg County, Texas",124108,93018,25971,123,1703,0
48187,"Guadalupe County, Texas",151249,99389,11383,526,2465,0
48201,"Harris County, Texas",4538028,2899194,856485,16777,314955,1146
48209,"Hays County, Texas",194739,167830,9387,701,3498,0
48213,"Henderson County, Texas",79545,70751,6265,391,593,49
48215,"Hidalgo County, Texas",842304,744591,5649,1622,9113,200
48231,"Hunt County, Texas",89844,70887,7244,695,1080,0
48245,"Jefferson County, Texas",254308,148271,86891,1053,8316,142
48251,"Johnson County, Texas",159990,145296,6050,1073,591,662
48257,"Kaufman County, Texas",114690,93222,12424,392,1368,50
48291,"Liberty County, Texas",79654,64932,8717,307,174,23
48303,"Lubbock County, Texas",299453,246712,19424,4282,6589,40
48309,"McLennan County, Texas",245671,193979,36219,888,4675,0
48329,"Midland County, Texas",161077,138827,9055,485,2763,58
48339,"Montgomery County, Texas",537559,456558,23220,2050,14434,0
48347,"Nacogdoches County, Texas",65664,50721,12096,248,1209,0
48355,"Nueces County, Texas",359715,322549,13846,2065,7662,84
48361,"Orange County, Texas",84260,73959,7597,148,959,0
48367,"Parker County, Texas",126042,114007,1628,2067,627,66
48375,"Potter County, Texas",121802,97793,10046,568,6346,200
48381,"Randall County, Texas",130269,116771,3598,529,2210,300
48397,"Rockwall County, Texas",90861,77876,4533,554,2381,0
48409,"San Patricio County, Texas",67357,62295,628,179,1805,35
48423,"Smith County, Texas",222936,171437,38848,615,3427,5
48439,"Tarrant County, Texas",1982498,1380960,316980,8210,103361,3772
48441,"Taylor County, Texas",136051,104669,10296,759,2100,0
48451,"Tom Green County, Texas",118105,100919,5831,275,2000,242
48453,"Travis County, Texas",1176558,872255,100301,4785,75784,354
48469,"Victoria County, Texas",92382,78909,5515,40,1102,0
48471,"Walker County, Texas",70699,50476,15418,555,675,48
48479,"Webb County, Texas",269721,258007,590,856,1884,0
48485,"Wichita County, Texas",131705,104889,13562,989,3278,27
48491,"Williamson County, Texas",508514,412300,32210,1114,31068,73
49005,"Cache County, Utah",120783,107508,1082,739,2842,216
49011,"Davis County, Utah",336043,298879,3576,1003,6626,1953
49035,"Salt Lake County, Utah",1107314,901318,19813,8771,43608,15404
49049,"Utah County, Utah",575205,528986,4000,2530,9037,3612
49053,"Washington County, Utah",155602,140239,1343,3793,817,758
49057,"Weber County, Utah",243645,217805,2578,1931,2693,168
50007,"Chittenden County, Vermont",161382,146387,4265,449,6420,126
51003,"Albemarle County, Virginia",105703,87226,10590,153,5210,0
51013,"Arlington County, Virginia",229164,165282,20354,160,24290,202
51041,"Chesterfield County, Virginia",335687,228972,76900,653,10728,0
51059,"Fairfax County, Virginia",1142234,701027,109153,1802,216996,481
51061,"Fauquier County, Virginia",68782,59774,5810,78,1132,0
51069,"Frederick County, Virginia",83199,76429,3625,701,988,322
51085,"Hanover County, Virginia",103227,88787,9924,100,1666,0
51087,"Henrico County, Virginia",325155,187036,96570,832,26530,249
51095,"James City County, Virginia",73147,58542,9453,120,2377,0
51107,"Loudoun County, Virginia",375629,248621,27685,623,64511,450
51121,"Montgomery County, Virginia",97653,82101,4769,46,6446,0
51153,"Prince William County, Virginia",451721,258165,95253,2090,36029,404
51161,"Roanoke County, Virginia",94409,83848,5893,107,2062,0
51165,"Rockingham County, Virginia",78593,73275,1735,553,731,13
51177,"Spotsylvania County, Virginia",130475,96644,21291,791,3132,261
51179,"Stafford County, Virginia",142003,98526,25343,351,4468,230
51199,"York County, Virginia",67837,51413,8604,254,3438,156
51510,"Alexandria city, Virginia",153511,97333,31470,280,10137,0
51550,"Chesapeake city, Virginia",235429,144648,70444,506,8441,294
51650,"Hampton city, Virginia",136454,58494,67048,817,3407,167
51680,"Lynchburg city, Virginia",79812,52055,22715,219,2339,0
51700,"Newport News city, Virginia",182385,88771,73574,346,6629,308
51710,"Norfolk city, Virginia",246393,120510,102513,1425,9488,159
51740,"Portsmouth city, Virginia",96201,39779,50543,471,530,0
51760,"Richmond city, Virginia",220289,98864,104583,2276,4866,112
51770,"Roanoke city, Virginia",99897,64887,27458,27,2673,0
51800,"Suffolk city, Virginia",88161,45880,37780,454,1880,0
51810,"Virginia Beach city, Virginia",452745,304039,88810,1096,28670,252
53005,"Benton County, Washington",190309,152402,804,1621,4218,144
53009,"Clallam County, Washington",73486,65131,78,3731,1443,25
53011,"Clark County, Washington",459495,389337,9116,2259,19767,2674
53015,"Cowlitz County, Washington",103468,93275,340,1182,1784,0
53021,"Franklin County, Washington",88807,70420,2109,130,1695,30
53025,"Grant County, Washington",93259,66740,423,702,876,83
53027,"Grays Harbor County, Washington",71122,62253,613,3024,1138,244
53029,"Island County, Washington",80593,68647,2731,932,3982,373
53033,"King County, Washington",2117125,1395839,134947,14181,346434,17989
53035,"Kitsap County, Washington",260131,211298,6354,2183,10975,1472
53041,"Lewis County, Washington",75882,69937,538,769,1132,0
53053,"Pierce County, Washington",843954,618424,57198,9773,53169,12165
53057,"Skagit County, Washington",121846,100273,1203,1814,2296,228
53061,"Snohomish County, Washington",772501,598628,20169,6669,73832,4248
53063,"Spokane County, Washington",490945,435403,7778,6567,10729,2525
53067,"Thurston County, Washington",269536,221351,8945,4889,14556,2493
53073,"Whatcom County, Washington",212284,177511,1808,6691,8499,841
53077,"Yakima County, Washington",248830,201706,2383,9457,2313,0
54003,"Berkeley County, West Virginia",111901,97522,9164,0,1362,0
54011,"Cabell County, West Virginia",96844,88105,5103,313,1391,0
54039,"Kanawha County, West Virginia",188332,166990,13492,61,2416,0
54061,"Monongalia County, West Virginia",104236,94347,2666,194,3147,0
54107,"Wood County, West Virginia",86452,83093,733,186,645,206
55009,"Brown County, Wisconsin",258718,219747,5603,5800,7907,28
55025,"Dane County, Wisconsin",523643,439973,27796,1327,29204,211
55027,"Dodge County, Wisconsin",88502,82203,2010,626,801,0
55035,"Eau Claire County, Wisconsin",102105,93875,971,495,4836,36
55039,"Fond du Lac County, Wisconsin",101973,95901,1620,627,878,26
55055,"Jefferson County, Wisconsin",84559,79619,643,83,636,0
55059,"Kenosha County, Wisconsin",168437,146113,12205,818,2609,0
55063,"La Crosse County, Wisconsin",118212,108075,1248,599,5574,1
55071,"Manitowoc County, Wisconsin",79806,75526,614,193,2518,12
55073,"Marathon County, Wisconsin",135868,124426,849,575,7748,265
55079,"Milwaukee County, Wisconsin",957735,583545,251506,5436,40240,325
55087,"Outagamie County, Wisconsin",183245,164135,2208,3266,6428,39
55089,"Ozaukee County, Wisconsin",87850,82673,1240,306,1923,51
55097,"Portage County, Wisconsin",70408,66020,449,69,2298,0
55101,"Racine County, Wisconsin",195080,156226,22460,829,2333,59
55105,"Rock County, Wisconsin",161448,144295,5434,687,2122,0
55109,"St. Croix County, Wisconsin",87513,84405,919,114,1124,0
55117,"Sheboygan County, Wisconsin",115569,104047,1741,329,6360,0
55127,"Walworth County, Wisconsin",102804,96056,1259,618,1128,0
55131,"Washington County, Wisconsin",133674,127584,1445,132,775,0
55133,"Waukesha County, Wisconsin",396488,366883,5451,897,12717,217
55139,"Winnebago County, Wisconsin",169546,157168,3919,1223,5161,0
55141,"Wood County, Wisconsin",73435,69416,540,425,1485,39
56021,"Laramie County, Wyoming",97121,86194,2474,980,1141,181
